algorithm,type,size,comparisons,time(secs),memory(peak)
selection,sorted,100,4950,0.0005593000023509376,32
merge,sorted,100,316,0.00041879999844240956,2880
selection,reverse,100,4950,0.0005762000000686385,0
merge,reverse,100,356,0.0003037999995285645,2880
selection,random,100,4950,0.0005055000001448207,0
merge,random,100,542,0.0003370000013092067,2880
selection,duplicates,100,4950,0.0006156000017654151,0
merge,duplicates,100,481,0.00029799999902024865,2880
selection,sorted,1000,499500,0.07442799999989802,0
merge,sorted,1000,4932,0.0039244999970833305,25888
selection,reverse,1000,499500,0.06859049999911804,0
merge,reverse,1000,5044,0.003316800000902731,25440
selection,random,1000,499500,0.0583452999999281,0
merge,random,1000,8703,0.003990500001236796,25440
selection,duplicates,1000,499500,0.061194700003397884,0
merge,duplicates,1000,8501,0.0037474999990081415,25440
selection,sorted,2500,3123750,0.3743813000000955,0
merge,sorted,2500,13652,0.009706500000902452,67256
selection,reverse,2500,3123750,0.3723772999983339,0
merge,reverse,2500,14752,0.009924400001182221,66976
selection,random,2500,3123750,0.37583770000128425,0
merge,random,2500,25143,0.011287699999229517,66976
selection,duplicates,2500,3123750,0.36721810000017285,0
merge,duplicates,2500,24935,0.010757799998827977,66976
selection,sorted,5000,12497500,1.4726154999989376,0
merge,sorted,5000,29804,0.019918199999665376,128584
selection,reverse,5000,12497500,1.5072106000006897,0
merge,reverse,5000,32004,0.020300299998780247,128416
selection,random,5000,12497500,1.4827574999981152,0
merge,random,5000,55197,0.023395000000164146,128416
selection,duplicates,5000,12497500,1.4865961000032257,0
merge,duplicates,5000,54971,0.02298000000155298,128416
selection,sorted,10000,49995000,6.204046699996979,0
merge,sorted,10000,64608,0.04208990000188351,254056
selection,reverse,10000,49995000,6.113370099999884,0
merge,reverse,10000,69008,0.042548099998384714,253888
selection,random,10000,49995000,5.9492053000030864,0
merge,random,10000,120358,0.04911129999891273,253888
selection,duplicates,10000,49995000,6.005756700000347,0
merge,duplicates,10000,120257,0.04943939999793656,253888
